student_base_elo,last_question_difficulty,session_accuracy,current_streak,avg_time_taken,target_difficulty
806,703,0.34,0,34,679
1109,1018,0.99,3,34,1182
1892,1956,0.89,7,9,2244
1641,1703,0.44,0,12,1714
1428,1372,0.77,0,52,1392
973,1084,0.32,0,24,1057
875,986,0.45,0,52,958
1082,1014,0.82,3,42,1152
1797,1755,0.64,1,14,1826
1042,1045,0.68,3,45,1162
1237,1200,0.44,0,55,1171
1631,1723,0.78,3,34,1855
1485,1485,0.29,0,10,1474
1275,1343,0.86,8,15,1637
1474,1535,0.41,0,49,1502
1325,1253,0.39,0,57,1216
1868,1953,0.68,1,35,2010
1385,1436,0.2,0,32,1391
1829,1891,0.37,0,21,1872
1245,1248,0.53,2,57,1292
852,777,0.26,0,54,721
978,1061,0.29,0,48,1010
1972,2021,0.77,2,6,2142
876,883,0.54,3,48,959
1498,1432,0.53,2,26,1496
1903,1872,0.44,0,53,1843
1872,1810,0.27,0,42,1776
1878,1877,0.45,0,42,1870
1382,1476,0.85,4,42,1648
1043,1149,0.68,3,49,1246
1754,1627,0.75,1,40,1694
1299,1316,0.48,0,30,1313
1960,2106,0.49,0,36,2104
1290,1199,0.67,0,36,1224
1901,1860,0.28,0,23,1827
1713,1646,0.43,0,21,1636
923,939,0.21,0,13,916
1051,996,0.5,0,39,996
1430,1341,0.27,0,33,1306
1404,1326,0.7,3,16,1446
910,980,0.47,0,52,956
936,901,0.39,0,23,884
1048,1189,0.47,0,51,1164
1789,1680,0.41,0,37,1666
997,1130,0.52,1,43,1163
1596,1504,0.76,1,7,1593
1984,1975,0.35,0,53,1932
1139,1127,0.72,2,36,1220
1884,2028,0.36,0,7,2027
1316,1302,0.25,0,59,1244
1294,1230,0.62,3,31,1338
954,888,0.66,3,31,1002
1636,1539,0.99,2,23,1672
1335,1248,0.47,0,51,1224
931,875,0.61,0,20,892
1791,1924,0.86,7,44,2188
1073,925,0.39,0,9,928
1456,1567,0.5,0,8,1587
1232,1229,0.34,0,26,1205
1414,1299,0.69,1,42,1358
1699,1658,0.68,2,30,1745
1873,1885,0.67,1,9,1960
1478,1370,0.57,2,48,1420
1899,1918,0.66,1,15,1972
1002,950,0.36,0,12,949
1545,1609,0.45,0,17,1602
1551,1434,0.54,0,20,1440
1712,1798,0.39,0,8,1802
1804,1662,0.25,0,9,1644
1734,1806,0.91,6,22,2048
1632,1611,0.22,0,31,1569
1269,1175,0.37,0,56,1136
1298,1242,0.87,8,32,1538
1732,1734,0.27,0,22,1700
1726,1654,0.47,0,8,1670
1202,1266,0.34,0,33,1242
956,864,0.67,1,10,940
1564,1675,0.59,2,37,1748
1229,1270,0.67,2,52,1336
835,726,0.4,0,53,691
1941,2014,0.79,0,28,2058
1638,1755,0.41,0,11,1762
967,1028,0.99,4,16,1222
990,948,0.59,3,41,1052
1968,1912,0.39,0,45,1896
1621,1623,0.69,3,16,1742
1507,1556,0.23,0,15,1516
1361,1424,0.41,0,49,1390
1870,1844,0.89,6,33,2082
1683,1570,0.44,0,36,1561
1457,1541,0.49,0,22,1540
1378,1345,0.22,0,54,1283
1257,1233,0.4,0,10,1238
949,1061,0.48,0,42,1058
1537,1587,0.67,1,14,1662
1041,1020,0.53,2,42,1084
900,829,0.81,4,45,996
1736,1789,0.38,0,18,1771
1228,1338,0.57,3,54,1418
1095,976,0.96,8,6,1305
1033,894,0.55,3,30,992
1574,1581,0.61,3,9,1708
1667,1753,0.68,1,51,1790
1858,1862,0.91,6,47,2084
1977,2064,0.4,0,47,2029
925,1043,0.45,0,56,1016
1217,1342,0.4,0,28,1327
1281,1174,0.96,3,20,1333
1196,1295,0.84,2,15,1406
1937,1908,0.82,4,36,2076
821,834,0.94,4,38,1020
1891,1934,0.99,5,55,2138
1715,1646,0.97,8,18,1956
1264,1283,0.3,0,47,1233
1020,1097,0.91,8,58,1378
1233,1350,0.99,4,43,1544
1335,1345,0.58,2,31,1417
1882,1799,0.68,3,33,1916
1024,916,0.52,2,12,999
1536,1668,0.69,2,53,1736
1465,1464,1.0,8,25,1779
1347,1326,1.0,2,57,1441
1123,976,0.84,6,31,1207
1180,1174,0.66,3,35,1288
941,924,0.28,0,26,891
937,994,0.55,1,58,1012
1861,1777,0.89,8,30,2076
1846,1906,0.66,0,14,1950
1392,1460,0.56,2,58,1509
1106,961,0.91,2,16,1082
1641,1744,0.67,0,51,1750
810,666,0.33,0,27,640
1241,1304,0.32,0,10,1297
1045,1134,0.79,0,8,1198
1743,1795,0.8,2,14,1920
1387,1473,0.36,0,51,1432
1614,1592,0.43,0,42,1582
1336,1352,0.8,3,54,1467
1200,1098,1.0,6,8,1373
1522,1637,0.32,0,26,1610
1568,1677,0.72,0,60,1690
1171,1290,0.61,3,12,1416
1751,1727,0.83,8,53,1996
1425,1428,0.68,0,26,1455
1656,1628,1.0,5,6,1873
922,879,0.69,1,52,918
1457,1397,0.21,0,59,1334
1134,1223,0.57,1,35,1264
1180,1194,0.67,1,51,1230
1324,1188,0.94,6,10,1454
1261,1150,0.57,0,54,1140
1079,1210,0.45,0,12,1222
1250,1276,0.35,0,44,1254
1298,1166,0.95,8,53,1454
1112,1213,0.36,0,47,1172
1454,1445,0.88,7,53,1692
951,959,0.22,0,32,917
870,810,0.38,0,48,772
1579,1505,0.6,3,5,1630
1795,1838,0.24,0,40,1799
1733,1798,0.41,0,33,1784
1668,1800,0.37,0,6,1800
1052,989,0.43,0,53,958
883,982,0.41,0,49,948
1069,961,0.7,1,57,1001
982,910,0.35,0,47,868
1557,1563,0.89,2,35,1682
1247,1106,0.81,7,40,1362
891,947,0.37,0,49,908
1955,1879,0.65,1,24,1932
803,922,0.57,3,37,1022
1675,1560,0.52,2,16,1623
1997,2133,0.77,3,47,2244
847,846,0.57,1,55,866
1189,1214,0.3,0,42,1184
1480,1617,0.34,0,28,1593
987,985,0.21,0,49,922
912,1024,0.98,6,48,1256
1401,1292,0.31,0,14,1284
1858,1846,0.47,0,20,1842
1840,1914,0.98,5,27,2136
1530,1427,0.84,3,46,1548
1393,1388,0.28,0,45,1355
909,1024,0.28,0,58,971
1773,1781,0.71,3,19,1902
1211,1313,0.49,0,11,1332
1109,1124,0.38,0,27,1106
1094,1053,0.27,0,27,1018
1741,1640,0.2,0,59,1575
1375,1276,0.77,0,33,1316
1889,1786,0.57,1,25,1826
1680,1604,0.46,0,59,1578
1428,1354,0.56,1,5,1413
1800,1920,0.96,3,24,2079
1638,1652,0.81,5,25,1848
1136,1259,0.82,6,6,1507
1437,1469,0.74,2,33,1565
872,764,0.24,0,8,745
1428,1527,0.5,0,37,1527
1457,1441,0.9,3,38,1591
1055,1138,0.87,5,34,1344
1792,1771,0.47,0,19,1766
875,939,0.38,0,54,901
1726,1580,0.48,0,36,1577
889,974,0.24,0,53,915
993,861,1.0,3,46,1006
1517,1421,0.93,4,7,1626
1255,1144,0.23,0,26,1104
971,1064,0.34,0,38,1040
1635,1770,0.33,0,44,1744
1362,1451,0.63,2,16,1530
1921,1933,0.8,0,26,1978
1304,1193,0.57,3,20,1294
1418,1334,0.23,0,55,1274
993,899,0.26,0,43,863
1027,1018,0.86,3,16,1162
1742,1811,0.99,4,48,1984
1037,1151,0.84,8,35,1442
1510,1643,0.45,0,44,1636
1360,1475,0.71,0,10,1526
960,952,0.46,0,42,946
861,816,0.56,2,49,865
1267,1331,0.48,0,47,1308
1345,1269,0.7,0,11,1319
1296,1169,0.46,0,55,1143
1899,2020,0.35,0,57,1978
1791,1899,0.4,0,38,1884
1846,1794,0.86,5,44,1998
839,901,0.29,0,58,850
1417,1486,0.63,2,48,1546
841,723,0.26,0,12,707
1272,1172,0.49,0,43,1170
1875,1840,0.32,0,52,1793
1202,1249,0.26,0,23,1213
1866,1736,0.33,0,38,1710
1885,1979,0.32,0,6,1972
818,868,0.98,7,49,1130
800,661,0.22,0,41,619
1842,1839,0.76,2,10,1958
838,927,0.87,7,37,1192
1875,1742,0.45,0,18,1734
1427,1442,0.78,2,29,1544
1397,1445,0.67,0,42,1470
1440,1505,0.28,0,19,1472
1761,1691,0.49,0,13,1710
1352,1422,0.66,3,6,1556
1371,1274,0.95,5,41,1492
1651,1607,0.57,1,60,1628
1259,1125,0.59,0,47,1118
1389,1272,0.81,6,49,1478
1084,1231,0.43,0,11,1240
1832,1976,0.36,0,20,1955
1534,1480,0.94,5,29,1696
1758,1874,0.73,1,52,1918
1652,1587,0.33,0,11,1582
1827,1686,0.83,5,42,1886
1821,1779,0.47,0,14,1794
1947,1946,0.25,0,36,1908
804,661,0.66,1,44,715
1256,1324,0.65,1,30,1376
1248,1184,0.33,0,45,1158
1093,1137,0.93,3,41,1292
1577,1480,0.75,1,6,1568
1710,1834,0.54,0,40,1840
1129,995,0.76,2,26,1094
1983,2008,0.5,0,38,2008
1666,1753,0.9,5,13,1983
1217,1169,0.39,0,34,1152
1753,1786,0.29,0,11,1774
1194,1080,0.63,0,13,1120
1532,1404,0.99,8,44,1718
1461,1533,0.83,3,45,1672
1914,1775,0.33,0,21,1750
1197,1078,0.53,0,57,1062
1934,1894,0.7,3,7,2034
1847,1719,0.74,3,60,1825
1851,1710,0.79,3,17,1844
1686,1711,0.38,0,45,1693
1689,1834,0.66,2,48,1898
1058,1077,0.26,0,48,1021
1968,1994,0.85,5,8,2216
1540,1565,0.59,3,15,1668
868,803,0.23,0,35,762
1706,1778,0.41,0,28,1764
1401,1509,0.23,0,47,1448
1336,1245,0.31,0,37,1216
1697,1695,0.34,0,25,1671
1094,1076,0.73,3,50,1180
1484,1577,0.36,0,28,1556
1644,1611,0.77,0,10,1672
1254,1182,0.59,2,52,1236
1005,1008,0.83,7,54,1248
1023,1030,0.7,1,23,1090
822,846,0.56,3,20,945
1684,1538,0.78,0,28,1580
1948,1830,0.28,0,42,1797
1897,1790,0.94,3,54,1926
924,1063,0.42,0,11,1071
1893,1866,0.82,2,23,1974
895,869,0.74,0,57,885
1142,1288,0.69,2,56,1356
1925,1924,0.37,0,41,1904
1319,1469,0.64,3,20,1580
1661,1637,0.53,3,6,1752
999,1125,0.26,0,57,1069
1324,1428,0.61,1,51,1454
1719,1585,0.27,0,50,1530
912,892,0.55,2,25,960
1300,1286,0.57,1,15,1326
1976,1858,0.8,3,11,2013
1787,1904,0.48,0,11,1921
1646,1582,0.88,4,51,1739
1977,2017,0.68,3,43,2134
1293,1262,0.93,4,29,1446
1582,1565,0.91,8,30,1866
1273,1266,0.35,0,58,1224
990,939,0.77,0,29,980
904,1003,0.66,3,59,1097
1775,1857,0.32,0,47,1810
1704,1580,0.4,0,34,1565
1090,1194,0.7,2,24,1284
1356,1482,0.26,0,59,1426
1889,1834,0.92,8,20,2137
1620,1684,0.32,0,9,1677
1571,1531,0.27,0,53,1476
1268,1176,0.39,0,32,1160
1885,1835,0.71,2,24,1926
1524,1422,0.3,0,49,1372
1256,1250,0.74,1,32,1316
1262,1225,0.34,0,43,1201
1008,914,0.96,7,57,1173
1625,1565,0.85,3,7,1728
1860,1999,0.87,7,13,2284
1027,1139,0.29,0,57,1088
1885,2017,0.78,2,56,2099
1911,1973,0.51,2,54,2014
963,972,0.77,3,52,1082
1798,1706,0.26,0,12,1690
1763,1856,0.52,1,21,1889
1882,1977,0.73,2,6,2092
1603,1495,0.92,5,12,1728
1681,1692,0.7,3,41,1812
810,747,0.55,2,18,814
1847,1766,0.92,8,46,2049
1735,1757,0.95,6,33,2004
1007,928,0.59,1,26,972
1976,1858,0.81,6,23,2084
1878,1745,0.3,0,14,1735
1238,1308,0.32,0,55,1261
1490,1433,0.63,0,45,1452
1066,980,1.0,4,48,1155
1398,1523,1.0,3,34,1688
1609,1689,0.84,7,24,1950
1574,1561,0.64,2,17,1642
1558,1608,0.46,0,33,1602
1410,1557,0.3,0,52,1507
889,985,0.53,3,38,1080
1737,1696,0.55,2,20,1764
1708,1790,0.77,2,36,1890
1963,1827,0.46,0,8,1841
1236,1139,0.48,0,38,1136
1406,1417,0.42,0,11,1425
1824,1853,0.39,0,47,1816
1462,1360,0.23,0,25,1320
1087,960,0.75,0,49,978
900,846,0.48,0,23,843
1220,1244,0.72,2,33,1337
1581,1464,0.22,0,36,1422
1849,1877,0.92,3,23,2030
1819,1888,0.56,3,5,2007
1408,1397,0.52,2,12,1480
1238,1176,0.73,2,13,1290
1551,1508,0.38,0,41,1490
1559,1457,0.87,2,47,1552
1257,1177,0.49,0,14,1196
1502,1404,0.37,0,44,1384
1383,1476,0.5,0,6,1496
1465,1412,0.37,0,60,1372
891,743,0.34,0,52,699
963,995,0.46,0,16,989
1352,1480,0.33,0,38,1454
1185,1131,0.87,4,15,1306
1443,1484,0.55,1,10,1542
1946,2021,0.92,3,18,2174
1086,1091,0.41,0,14,1098
1248,1304,0.89,8,15,1602
1969,1945,0.43,0,39,1934
1375,1310,0.71,2,17,1402
1208,1207,0.51,3,9,1318
1817,1911,0.82,4,10,2099
1936,2063,0.89,5,18,2272
1363,1330,0.36,0,54,1289
1988,1953,0.47,0,58,1928
1473,1466,0.36,0,21,1445
1063,1143,0.23,0,54,1082
1817,1931,0.76,0,60,1950
1187,1291,0.45,0,25,1284
894,942,0.55,1,23,980
1043,1030,0.83,4,20,1200
1605,1491,0.78,3,47,1603
1806,1902,0.68,2,36,1989
1050,956,0.25,0,44,918
1187,1300,0.71,0,9,1352
965,940,0.7,2,29,1030
969,1036,0.7,0,11,1086
1413,1410,0.27,0,41,1376
1151,1018,0.58,3,29,1120
1973,2025,0.66,0,30,2049
1687,1724,0.96,2,34,1853
825,916,0.61,2,53,972
819,706,0.6,1,37,751
1141,1123,0.32,0,60,1076
1272,1149,0.87,4,58,1304
1900,1775,0.37,0,17,1756
958,846,0.41,0,29,832
1357,1496,0.43,0,40,1486
1624,1715,0.59,2,49,1768
1228,1307,0.41,0,30,1294
1017,974,0.78,3,34,1106
953,981,1.0,6,30,1236
1327,1297,0.29,0,12,1286
1844,1786,0.69,3,45,1904
1071,1018,0.47,0,14,1034
1477,1603,0.92,7,8,1896
1977,2036,0.8,1,26,2111
1655,1564,0.99,3,46,1708
1733,1638,0.52,3,30,1731
1400,1388,0.49,0,52,1366
1906,2039,0.32,0,25,2012
1864,1799,0.9,4,30,1979
939,952,0.87,5,53,1138
1056,1074,0.41,0,60,1040
1942,1882,0.39,0,36,1866
1295,1149,0.87,5,54,1334
1040,1133,0.3,0,44,1103
1799,1656,0.83,2,42,1766
1491,1631,0.97,4,5,1842
1789,1708,0.86,4,52,1862
1407,1501,0.83,3,23,1640
1201,1274,0.71,1,27,1336
1827,1867,0.62,0,51,1865
1364,1295,0.77,1,45,1366
1390,1252,0.36,0,42,1231
1178,1245,0.95,8,14,1572
1423,1474,0.44,0,45,1465
1211,1275,0.92,4,36,1458
1821,1789,0.69,0,59,1798
1811,1927,0.5,0,30,1927
963,856,0.22,0,60,794
1481,1399,0.71,3,50,1500
1355,1239,0.68,0,49,1246
1498,1425,0.81,2,58,1512
1061,1003,0.31,0,27,974
1494,1571,0.5,0,47,1551
1854,1849,0.92,5,10,2082
1247,1341,0.61,0,57,1338
943,1017,0.93,5,57,1212
1893,1810,0.3,0,44,1780
1016,914,0.78,1,11,1006
1247,1129,0.41,0,23,1116
884,914,0.87,6,28,1150
1737,1659,0.68,2,16,1746
1736,1587,0.98,3,22,1749
1756,1900,0.54,0,9,1926
1147,1147,0.37,0,17,1128
1140,1238,0.62,2,60,1296
1052,1087,0.54,1,18,1123
1397,1452,0.58,3,30,1554
1775,1843,0.23,0,23,1802
1404,1259,0.41,0,24,1246
884,892,0.49,0,60,870
1126,1109,0.32,0,10,1102
1118,1025,0.26,0,18,989
1561,1667,0.68,1,48,1704
1301,1415,0.63,3,21,1524
1950,1848,0.51,1,18,1880
909,862,0.99,8,27,1176
1691,1732,0.85,7,41,1994
1662,1614,0.86,5,30,1818
1505,1605,0.4,0,30,1590
1081,941,0.41,0,48,908
1062,946,0.52,2,19,1009
1228,1287,0.67,3,49,1382
1460,1518,0.52,1,41,1551
1182,1047,0.53,1,34,1082
931,921,0.55,1,31,958
1512,1463,0.21,0,29,1420
1905,1870,0.98,2,5,2022
1759,1638,0.97,2,23,1768
1043,1178,0.61,1,14,1244
1451,1501,0.34,0,30,1477
1850,1974,0.56,3,29,2073
1716,1750,0.73,1,44,1814
1173,1137,0.34,0,42,1113
1941,2062,0.67,3,13,2198
1509,1373,0.89,6,48,1592
925,1006,0.64,1,57,1037
1443,1325,0.96,4,6,1534
862,752,0.27,0,50,698
815,875,0.56,0,28,884
1108,1099,0.62,0,23,1117
1154,1039,0.36,0,8,1038
1293,1388,0.74,3,53,1494
1510,1658,0.63,1,60,1688
2000,2004,0.63,1,15,2054
1962,1974,0.87,2,25,2090
1267,1365,0.97,5,6,1606
1396,1265,0.63,0,46,1264
1645,1621,0.52,3,54,1694
1335,1433,0.21,0,39,1390
1267,1367,0.87,4,13,1562
1197,1266,0.62,3,30,1374
1247,1268,0.45,0,38,1260
1557,1607,0.98,7,25,1889
1441,1314,0.65,2,29,1396
1056,963,0.29,0,22,932
1936,1904,0.67,1,22,1960
1247,1248,0.47,0,53,1224
934,892,0.55,3,34,990
878,1020,0.42,0,27,1008
1290,1245,0.45,0,32,1238
979,933,0.53,0,7,958
1054,969,0.2,0,26,924
1015,979,0.31,0,12,970
1323,1236,0.5,0,9,1256
1973,1884,0.79,0,37,1928
891,994,0.69,2,17,1082
1600,1661,0.58,0,14,1693
1073,1198,0.7,2,45,1288
1803,1771,0.95,7,47,2028
1028,1113,0.85,5,19,1316
1776,1702,0.84,4,10,1893
1503,1650,0.69,3,23,1768
1028,1094,0.48,0,31,1091
1162,1132,0.74,3,17,1258
1845,1864,0.63,2,38,1944
1081,962,0.38,0,34,944
1861,1932,0.26,0,9,1916
1309,1160,0.53,2,6,1244
1946,1805,0.41,0,9,1812
1877,1793,0.77,3,12,1944
1911,1787,0.49,0,54,1766
1057,1206,0.24,0,37,1167
1155,1140,0.57,1,19,1180
891,765,0.97,3,9,946
1808,1797,0.24,0,17,1758
1325,1378,0.32,0,58,1331
1194,1068,0.73,1,14,1152
1249,1136,0.93,2,13,1280
851,968,0.3,0,44,938
883,832,0.76,0,11,891
1626,1511,0.51,1,24,1542
1168,1107,0.8,3,54,1222
874,727,0.83,4,47,876
1829,1776,0.64,0,15,1797
1448,1358,0.97,6,54,1588
800,831,0.62,3,54,919
1162,1179,0.52,3,15,1272
1418,1559,0.21,0,7,1536
1667,1720,0.63,3,13,1850
983,871,0.57,1,46,892
1448,1336,0.21,0,21,1292
1732,1828,0.55,2,53,1876
1382,1321,0.73,3,56,1426
1786,1916,0.25,0,33,1878
1337,1270,0.35,0,14,1268
1151,1044,0.33,0,17,1018
815,801,0.95,7,16,1078
1076,1090,0.75,1,22,1158
1030,948,0.67,0,31,974
1271,1181,0.71,3,20,1302
1733,1829,0.27,0,36,1794
1100,978,0.85,4,56,1130
817,799,0.35,0,20,776
1091,1199,0.24,0,56,1140
1115,1039,0.66,0,10,1083
1333,1383,0.61,3,15,1490
1272,1163,0.38,0,16,1145
1513,1516,0.75,2,18,1614
1823,1932,0.73,2,49,2006
1760,1743,0.24,0,7,1724
1026,961,0.29,0,5,950
949,818,0.56,3,42,917
977,1089,0.55,2,8,1176
1024,1166,0.79,1,55,1220
1494,1581,0.81,5,33,1778
1063,1050,0.81,7,49,1286
1513,1382,0.65,1,39,1434
1992,1960,0.68,1,52,1997
1002,943,0.47,0,45,938
1496,1526,0.94,2,41,1652
1565,1431,0.79,2,41,1534
1596,1480,0.28,0,38,1447
1027,1111,0.64,2,29,1192
812,775,0.98,3,44,937
1913,1959,0.98,3,36,2121
1787,1702,0.45,0,41,1694
1051,1111,0.35,0,39,1088
1058,955,0.51,3,25,1046
1211,1360,0.22,0,8,1338
1835,1808,0.73,0,40,1842
1345,1237,0.5,0,37,1237
1097,1137,0.87,6,9,1392
1274,1380,0.33,0,24,1354
1204,1263,0.81,2,49,1350
1103,1004,0.6,2,16,1079
1254,1119,0.4,0,31,1104
917,882,0.71,2,48,954
1734,1623,0.69,0,58,1632
1849,1931,0.27,0,33,1896
1005,887,0.35,0,57,844
1764,1862,0.29,0,18,1830
1334,1476,0.31,0,39,1448
1239,1266,0.83,7,59,1506
997,1118,0.31,0,17,1090
1490,1352,0.82,6,12,1600
1844,1713,0.96,6,55,1942
1040,1170,0.41,0,44,1156
1511,1655,0.29,0,11,1644
1505,1389,0.32,0,34,1362
933,863,0.21,0,16,820
1397,1311,0.38,0,47,1273
1152,1103,0.71,2,35,1194
1006,1041,0.82,6,24,1269
1445,1464,0.58,0,29,1476
1396,1490,0.85,8,38,1782
1653,1589,0.36,0,17,1568
1476,1586,0.22,0,59,1524
1417,1300,0.38,0,54,1262
1864,1789,0.45,0,21,1782
1428,1386,0.73,1,7,1470
916,771,0.84,4,45,942
1800,1921,0.93,5,6,2156
1882,2004,0.83,4,12,2194
1944,2032,0.3,0,26,2002
1298,1188,0.24,0,27,1149
998,908,0.92,3,53,1041
1021,940,0.72,3,37,1063
1325,1423,0.96,5,51,1622
1871,1850,0.34,0,51,1806
1452,1500,0.24,0,37,1461
1436,1507,0.33,0,48,1462
1270,1142,0.72,3,51,1245
1995,1905,0.82,6,21,2133
1099,1216,0.99,5,42,1440
1052,1044,0.34,0,20,1020
1907,1988,0.72,3,35,2111
1504,1559,0.51,0,42,1560
1451,1550,0.56,1,48,1569
842,900,0.54,1,26,936
1426,1369,0.42,0,47,1337
1741,1655,0.29,0,41,1624
1063,1142,0.67,0,44,1168
1702,1766,0.8,0,17,1811
1970,1859,0.96,6,25,2108
1134,1256,0.29,0,59,1204
988,1095,0.73,0,37,1130
925,977,0.27,0,24,942
1473,1415,0.71,2,25,1506
1673,1609,0.39,0,37,1592
1320,1339,0.4,0,35,1324
1724,1668,0.59,1,36,1712
1917,1949,0.4,0,56,1914
1337,1236,0.36,0,11,1235
1096,1187,0.4,0,12,1192
1938,1993,0.7,0,35,2023
1828,1917,0.88,3,39,2064
1964,2030,0.23,0,37,1990
1873,1723,0.58,2,15,1795
1864,1939,0.87,8,35,2234
1478,1612,0.46,0,21,1606
1773,1763,0.55,3,35,1860
1314,1167,0.46,0,28,1161
1852,1799,0.32,0,7,1792
1198,1160,0.83,8,24,1450
1195,1189,0.61,1,49,1216
1100,1139,0.76,3,46,1248
1565,1584,0.41,0,57,1550
1833,1755,0.36,0,12,1754
888,792,0.84,6,18,1023
1199,1233,0.64,2,5,1334
1413,1295,0.25,0,5,1278
1670,1580,0.5,0,17,1580
1502,1483,0.26,0,6,1467
853,872,0.99,5,31,1096
855,820,0.82,6,29,1048
1239,1304,0.67,3,22,1420
1439,1382,0.33,0,10,1376
1582,1530,0.73,0,34,1564
1635,1702,0.51,2,33,1764
1544,1620,0.99,6,28,1874
1630,1702,0.7,0,44,1732
1515,1381,0.29,0,9,1370
995,946,0.23,0,20,906
1229,1257,0.96,6,53,1486
1449,1398,0.81,4,28,1564
1638,1672,0.98,5,56,1874
802,864,0.69,2,12,972
1615,1644,0.35,0,26,1622
1299,1425,0.81,2,43,1532
1318,1419,0.5,0,15,1419
1844,1867,0.38,0,58,1829
1146,1207,0.76,3,13,1356
1826,1973,0.71,0,47,1984
1906,1782,0.85,5,49,1964
1931,1910,0.88,6,50,2127
1005,969,0.38,0,5,971
1570,1454,0.62,3,35,1562
1590,1492,0.98,3,34,1654
814,907,0.69,0,26,936
1429,1283,0.24,0,10,1264
1950,1948,0.91,7,40,2220
1156,1181,0.64,3,29,1292
1327,1477,0.42,0,14,1485
1827,1947,0.92,5,32,2160
1802,1876,0.81,4,48,2022
1057,1141,0.71,3,32,1262
1248,1321,0.89,3,45,1470
1885,2002,0.66,1,43,2056
1170,1197,0.37,0,23,1178
1458,1546,0.82,2,5,1674
847,885,0.57,1,53,906
1694,1747,0.94,5,41,1963
1262,1175,0.86,5,23,1379
1121,1200,0.34,0,31,1176
1364,1436,0.71,0,52,1448
875,837,0.97,4,26,1028
1301,1231,0.27,0,38,1196
1137,1179,0.35,0,55,1136
1274,1198,0.65,2,31,1280
1787,1757,0.34,0,41,1733
1333,1252,0.39,0,47,1216
1794,1711,0.46,0,20,1705
883,999,0.89,8,52,1278
958,919,0.92,2,55,1022
1167,1202,0.78,3,35,1334
1100,1139,0.88,6,20,1376
1456,1529,0.76,3,46,1638
1394,1370,0.95,7,38,1648
1758,1673,0.88,6,54,1890
1929,2008,0.76,2,53,2087
924,781,0.79,1,54,834
1013,872,0.8,2,42,977
998,1107,0.63,2,30,1186
1572,1712,0.76,2,23,1811
1946,1965,0.72,2,56,2038
1158,1272,0.23,0,8,1252
1999,2075,0.72,3,42,2198
1607,1665,0.56,1,32,1704
1539,1393,0.69,2,46,1462
1226,1263,0.77,3,16,1394
1184,1325,0.59,3,52,1408
1123,1216,0.95,7,27,1494
1617,1707,0.24,0,54,1648
822,826,0.37,0,58,786
1831,1962,0.97,6,15,2212
1573,1532,0.46,0,28,1526
1250,1250,0.84,2,59,1341
850,709,0.45,0,27,702
1489,1490,0.38,0,13,1492
1207,1258,0.94,2,10,1404
1840,1927,0.82,4,54,2075
1663,1789,0.33,0,37,1764
1776,1772,0.21,0,35,1728
1990,2126,0.48,0,56,2103
1374,1340,0.46,0,48,1314
1859,1711,0.29,0,19,1680
1092,1141,0.58,1,50,1163
1348,1252,0.96,2,10,1401
1818,1944,0.71,3,19,2066
1940,1885,0.5,0,29,1885
1179,1141,0.49,0,36,1140
854,963,0.69,2,53,1032
1371,1277,0.8,3,51,1392
1484,1383,0.6,1,16,1428
1200,1243,0.45,0,54,1216
1573,1490,0.58,1,26,1532
1683,1778,0.3,0,47,1728
1975,2105,0.84,8,32,2396
1392,1464,0.69,2,60,1532
1783,1700,0.71,3,29,1822
1947,2095,0.9,4,28,2275
1895,1941,0.3,0,22,1911
1688,1685,0.29,0,20,1654
1298,1214,0.83,8,19,1504
1242,1262,0.42,0,18,1250
1770,1904,0.99,4,31,2098
1093,1194,0.71,1,19,1256
870,898,0.47,0,59,874
1598,1465,0.4,0,45,1450
1458,1515,0.25,0,26,1478
1597,1728,0.52,1,15,1761
1229,1190,0.85,4,25,1362
1210,1288,0.73,1,42,1352
1401,1367,0.21,0,12,1344
1770,1832,0.6,0,21,1847
994,1072,0.62,0,5,1110
1817,1688,0.46,0,39,1682
946,1090,0.26,0,5,1074
974,1064,0.82,8,55,1332
1345,1480,0.25,0,34,1442
883,825,0.48,0,58,802
1065,1049,0.35,0,5,1046
978,964,0.93,4,52,1128
1893,1963,0.54,1,20,1999
1785,1686,0.86,6,30,1920
942,899,0.83,4,52,1048
1018,995,0.34,0,10,991
1589,1721,0.6,3,27,1826
1944,1958,0.98,4,32,2150
1387,1440,0.53,1,14,1494
1931,2065,0.87,3,43,2210
1471,1523,0.98,8,40,1835
1940,2061,0.63,3,35,2170
1375,1482,0.8,0,49,1507
1628,1723,0.69,1,12,1802
844,907,0.45,0,20,900
1413,1284,0.3,0,23,1254
1602,1506,0.39,0,26,1490
1269,1316,0.25,0,30,1278
1487,1485,0.88,2,48,1582
1149,1183,0.88,2,34,1300
1163,1149,0.85,8,40,1442
1012,898,0.94,8,20,1204
1583,1470,0.49,0,32,1468
858,1007,0.52,3,42,1100
1015,1137,0.86,8,42,1431
1660,1687,0.66,2,57,1751
1153,1174,0.42,0,33,1162
1933,1892,0.98,5,44,2114
1866,1747,0.55,1,21,1784
1310,1330,0.66,3,48,1424
1313,1330,0.52,1,11,1383
1208,1131,0.95,2,49,1238
1307,1351,0.37,0,26,1332
1108,1222,0.98,5,60,1424
1137,1268,0.23,0,50,1208
1129,1029,0.85,5,25,1232
803,657,0.33,0,5,652
1079,1219,0.63,1,22,1268
800,820,0.53,1,42,854
1115,1181,0.83,8,41,1470
